"No.","Time","Source","Destination","Protocol","Length","Info"
"873","158.781197","91.189.91.96","192.168.239.134","TCP","58","80  >  57678 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"874","158.781463","192.168.239.134","91.189.91.96","TCP","60","57678  >  80 [RST] Seq=1 Win=0 Len=0"
"875","158.842796","91.189.91.98","192.168.239.134","TCP","58","80  >  52716 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"876","158.843106","192.168.239.134","91.189.91.98","TCP","60","52716  >  80 [RST] Seq=1 Win=0 Len=0"
"877","159.477837","192.168.239.134","185.125.190.97","TCP","74","[TCP Port numbers reused] 48782  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=16942803 TSecr=0 WS=128"
"878","159.541838","192.168.239.134","91.189.91.96","TCP","74","[TCP Port numbers reused] 57678  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4227149561 TSecr=0 WS=128"
"879","159.605840","192.168.239.134","91.189.91.98","TCP","74","[TCP Port numbers reused] 52716  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1340681125 TSecr=0 WS=128"
"880","159.704259","185.125.190.97","192.168.239.134","TCP","58","80  >  48782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"881","159.704788","192.168.239.134","185.125.190.97","TCP","60","48782  >  80 [RST] Seq=1 Win=0 Len=0"
"882","159.804073","91.189.91.96","192.168.239.134","TCP","58","80  >  57678 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"883","159.804426","192.168.239.134","91.189.91.96","TCP","60","57678  >  80 [RST] Seq=1 Win=0 Len=0"
"884","159.867341","91.189.91.98","192.168.239.134","TCP","58","80  >  52716 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"885","159.867649","192.168.239.134","91.189.91.98","TCP","60","52716  >  80 [RST] Seq=1 Win=0 Len=0"
"886","160.501896","192.168.239.134","185.125.190.97","TCP","74","[TCP Port numbers reused] 48782  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=16943827 TSecr=0 WS=128"
"887","160.565827","192.168.239.134","91.189.91.96","TCP","74","[TCP Port numbers reused] 57678  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4227150585 TSecr=0 WS=128"
"888","160.629854","192.168.239.134","91.189.91.98","TCP","74","[TCP Port numbers reused] 52716  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1340682149 TSecr=0 WS=128"
"889","160.755269","185.125.190.97","192.168.239.134","TCP","58","80  >  48782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"890","160.755651","192.168.239.134","185.125.190.97","TCP","60","48782  >  80 [RST] Seq=1 Win=0 Len=0"
"891","160.821894","192.168.239.134","91.189.91.49","TCP","142","[TCP Retransmission] 33722  >  80 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=88"
"892","160.821933","VMware_ed:34:96","VMware_e0:b2:4c","ARP","60","Who has 192.168.239.2? Tell 192.168.239.136"
"893","160.821945","91.189.91.49","192.168.239.134","TCP","54","80  >  33722 [RST] Seq=1 Win=32767 Len=0"
"894","160.822039","VMware_e0:b2:4c","VMware_ed:34:96","ARP","42","192.168.239.2 is at 00:50:56:e0:b2:4c"
"895","160.825559","91.189.91.96","192.168.239.134","TCP","58","80  >  57678 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"896","160.825837","192.168.239.134","91.189.91.96","TCP","60","57678  >  80 [RST] Seq=1 Win=0 Len=0"
