method,latency_ns
fifo,12629.50
fifo,12592.76
fifo,15019.71
fifo,18011.77
fifo,12753.00
fifo,11589.94
fifo,11467.22
fifo,10607.43
fifo,14632.02
fifo,12379.38
fifo,12042.50
fifo,9441.25
fifo,11890.08
fifo,11201.47
fifo,12772.53
fifo,12075.33
fifo,11435.18
fifo,14418.64
fifo,11305.43
fifo,19288.16
fifo,12609.96
fifo,12212.11
fifo,11063.13
fifo,12715.48
fifo,11817.39
fifo,13724.56
fifo,9787.51
fifo,11929.95
fifo,10533.18
fifo,13168.82
fifo,11630.58
fifo,12223.84
fifo,11689.20
fifo,12591.98
fifo,12083.14
fifo,12302.78
fifo,11915.88
fifo,11765.80
fifo,14989.22
fifo,13726.90
fifo,12005.76
fifo,13110.20
fifo,20159.68
fifo,10320.58
fifo,11715.78
fifo,11046.71
chained_hash,65.65
chained_hash,60.19
chained_hash,57.06
chained_hash,59.40
chained_hash,57.84
chained_hash,54.72
chained_hash,59.40
chained_hash,55.50
chained_hash,153.20
chained_hash,55.50
chained_hash,54.71
chained_hash,54.72
chained_hash,53.15
chained_hash,52.37
chained_hash,53.93
chained_hash,54.71
chained_hash,54.71
chained_hash,171.18
chained_hash,52.37
chained_hash,53.15
chained_hash,52.37
chained_hash,53.15
chained_hash,52.37
chained_hash,163.36
chained_hash,51.59
chained_hash,52.37
chained_hash,438.49
chained_hash,52.37
chained_hash,50.81
chained_hash,48.46
chained_hash,50.81
chained_hash,50.81
chained_hash,51.59
chained_hash,50.03
chained_hash,49.24
chained_hash,50.81
chained_hash,50.02
chained_hash,51.59
chained_hash,50.02
chained_hash,48.46
chained_hash,171.17
chained_hash,46.12
chained_hash,50.02
chained_hash,46.90
chained_hash,49.24
chained_hash,50.03
chained_hash,50.02
chained_hash,49.24
chained_hash,50.03
chained_hash,121.15
chained_hash,136.78
chained_hash,128.19
chained_hash,46.90
chained_hash,49.24
chained_hash,50.03
chained_hash,45.34
chained_hash,48.46
chained_hash,45.33
chained_hash,46.90
chained_hash,49.24
chained_hash,46.90
chained_hash,46.12
chained_hash,52.37
chained_hash,121.15
chained_hash,46.12
chained_hash,46.90
chained_hash,47.68
chained_hash,46.11
chained_hash,46.90
chained_hash,46.90
chained_hash,46.90
chained_hash,46.90
chained_hash,50.02
chained_hash,50.02
chained_hash,46.12
chained_hash,48.46
chained_hash,48.46
chained_hash,46.12
chained_hash,46.90
chained_hash,134.44
chained_hash,41.43
chained_hash,42.21
chained_hash,138.35
chained_hash,42.99
chained_hash,42.21
chained_hash,41.43
chained_hash,39.86
chained_hash,38.30
chained_hash,141.47
chained_hash,41.43
chained_hash,38.30
chained_hash,42.21
chained_hash,42.21
chained_hash,41.42
chained_hash,39.86
chained_hash,41.43
chained_hash,127.40
chained_hash,43.77
chained_hash,40.64
chained_hash,41.43
chained_hash,41.43
chained_hash,41.42
chained_hash,42.21
chained_hash,549.48
chained_hash,43.77
chained_hash,41.42
chained_hash,42.99
chained_hash,39.08
chained_hash,40.64
chained_hash,39.86
chained_hash,41.42
chained_hash,41.42
chained_hash,40.64
chained_hash,40.64
chained_hash,39.86
chained_hash,39.86
chained_hash,43.77
chained_hash,40.64
chained_hash,41.42
chained_hash,41.43
chained_hash,39.08
chained_hash,42.21
chained_hash,42.21
chained_hash,40.64
chained_hash,41.42
chained_hash,38.30
chained_hash,41.43
chained_hash,40.64
chained_hash,41.42
chained_hash,40.64
chained_hash,41.42
chained_hash,38.30
chained_hash,40.64
chained_hash,43.77
chained_hash,39.08
chained_hash,40.64
chained_hash,41.43
chained_hash,89.10
chained_hash,39.86
chained_hash,42.99
chained_hash,44.55
chained_hash,44.55
chained_hash,40.64
chained_hash,43.77
chained_hash,42.21
chained_hash,45.33
chained_hash,43.77
chained_hash,43.77
chained_hash,41.42
chained_hash,45.33
chained_hash,41.42
chained_hash,43.77
chained_hash,44.55
chained_hash,41.42
chained_hash,42.21
chained_hash,42.21
chained_hash,41.42
chained_hash,43.77
chained_hash,43.77
chained_hash,42.21
chained_hash,42.21
chained_hash,43.77
chained_hash,42.99
chained_hash,41.43
chained_hash,42.99
chained_hash,43.77
chained_hash,43.77
chained_hash,54.71
chained_hash,182.90
chained_hash,41.43
chained_hash,45.33
chained_hash,43.77
chained_hash,42.99
chained_hash,39.86
chained_hash,43.77
chained_hash,42.21
chained_hash,125.84
