# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.195 ns/op; B=32(xval) median=0.256 ns/op
# 第 35 条口径：pkts_per_op=K（每个操作固定 K 个重传报文；SR=K 个互异 PSN、GBN=K 个连续 PSN，K 在所有 N 下恒定）
# ring_bytes=dynblock 占用面积=N×stride(S)（stride=align16(S)，24B 头不计）；非 dynblock 方法=0（无环缓冲）
# main_metric=batch_p50_ns（每批固定 K 个报文的 retrieve 摊到单批的 p50，即「每批固定 K 个报文」口径）
method,sort_impl,mode,N,pkts_per_op,ring_bytes,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,main_metric
psn_dynblock_adaptive,1,sr_16,128,16,131072,1024,512,32,5,228.139,2.480,227.521,229.514,237.943,batch_p50_ns
ring_fixed,0,sr_16,128,16,524288,1024,512,32,5,230.002,7.134,228.004,234.546,270.766,batch_p50_ns
ring_fixed,1,sr_16,128,16,524288,1024,512,32,5,233.244,17.404,228.266,234.869,320.768,batch_p50_ns
index_only,0,sr_16,128,16,0,1024,512,32,5,317.421,2.467,316.901,319.875,326.162,batch_p50_ns
index_only,1,sr_16,128,16,0,1024,512,32,5,166.681,3.962,165.722,169.121,186.857,batch_p50_ns
fifo_bounded,0,sr_64,128,64,0,1024,512,32,5,6326.710,45.466,6315.715,6343.086,6593.288,batch_p50_ns
fifo_bounded,1,sr_64,128,64,0,1024,512,32,5,5519.941,87.342,5481.538,5674.010,5768.065,batch_p50_ns
chained_hash_bounded,0,sr_64,128,64,0,1024,512,32,5,2704.635,159.692,2645.367,2879.238,3216.102,batch_p50_ns
chained_hash_bounded,1,sr_64,128,64,0,1024,512,32,5,1802.967,26.201,1799.135,1808.797,1975.574,batch_p50_ns
balanced_tree_bounded,0,sr_64,128,64,0,1024,512,32,5,2884.945,28.564,2876.230,2913.532,3012.036,batch_p50_ns
balanced_tree_bounded,1,sr_64,128,64,0,1024,512,32,5,2075.077,66.609,2052.405,2116.459,2327.272,batch_p50_ns
psn_dynblock,0,sr_64,128,64,131072,1024,512,32,5,1144.400,53.054,1128.023,1185.576,1383.064,batch_p50_ns
psn_dynblock,1,sr_64,128,64,131072,1024,512,32,5,1123.573,9.995,1121.445,1128.500,1181.262,batch_p50_ns
psn_dynblock_adaptive,0,sr_64,128,64,131072,1024,512,32,5,1126.429,16.360,1122.103,1138.496,1234.341,batch_p50_ns
psn_dynblock_adaptive,1,sr_64,128,64,131072,1024,512,32,5,1126.536,12.083,1123.135,1138.005,1174.799,batch_p50_ns
ring_fixed,0,sr_64,128,64,524288,1024,512,32,5,1180.016,12.274,1176.756,1189.844,1231.408,batch_p50_ns
ring_fixed,1,sr_64,128,64,524288,1024,512,32,5,1180.135,11.741,1175.800,1193.279,1225.202,batch_p50_ns
index_only,0,sr_64,128,64,0,1024,512,32,5,1751.758,15.038,1748.706,1762.401,1807.655,batch_p50_ns
index_only,1,sr_64,128,64,0,1024,512,32,5,943.626,12.438,942.744,950.816,981.272,batch_p50_ns
fifo_bounded,0,gbn_long64,256,64,0,1024,512,32,5,8414.136,151.658,8393.937,8625.935,8743.293,batch_p50_ns
fifo_bounded,1,gbn_long64,256,64,0,1024,512,32,5,8402.504,148.377,8374.405,8623.059,8780.582,batch_p50_ns
chained_hash_bounded,0,gbn_long64,256,64,0,1024,512,32,5,1061.359,7.993,1059.376,1068.913,1097.210,batch_p50_ns
chained_hash_bounded,1,gbn_long64,256,64,0,1024,512,32,5,1061.113,10.341,1059.013,1066.741,1121.594,batch_p50_ns
balanced_tree_bounded,0,gbn_long64,256,64,0,1024,512,32,5,1117.349,7.411,1115.520,1123.392,1153.494,batch_p50_ns
balanced_tree_bounded,1,gbn_long64,256,64,0,1024,512,32,5,1117.977,14.242,1115.951,1121.387,1218.859,batch_p50_ns
psn_dynblock,0,gbn_long64,256,64,262144,1024,512,32,5,1032.699,15.313,1027.045,1050.696,1095.269,batch_p50_ns
