# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.293 ns/op; B=32(xval) median=0.375 ns/op
method,sort_impl,mode,N,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
ring_fixed,0,sr_64,128,1024,512,32,5,853.711,7.221,852.189,860.852,883.586
ring_fixed,1,sr_64,128,1024,512,32,5,854.155,6.305,853.030,862.191,873.881
index_only,0,sr_64,128,1024,512,32,5,1756.167,10.208,1754.910,1765.738,1803.285
index_only,1,sr_64,128,1024,512,32,5,845.625,15.650,841.514,852.227,939.554
fifo_bounded,0,gbn_long64,256,1024,512,32,5,8252.821,150.402,8228.745,8457.030,8594.391
fifo_bounded,1,gbn_long64,256,1024,512,32,5,8245.153,147.000,8227.190,8430.036,8559.491
chained_hash_bounded,0,gbn_long64,256,1024,512,32,5,1016.932,6.541,1015.813,1022.774,1046.953
chained_hash_bounded,1,gbn_long64,256,1024,512,32,5,1015.479,3.632,1015.275,1020.089,1024.741
balanced_tree_bounded,0,gbn_long64,256,1024,512,32,5,1087.785,2.445,1087.593,1089.938,1100.217
balanced_tree_bounded,1,gbn_long64,256,1024,512,32,5,1088.246,1.953,1087.970,1090.598,1094.925
psn_dynblock,0,gbn_long64,256,1024,512,32,5,992.395,7.023,990.384,999.105,1026.094
psn_dynblock,1,gbn_long64,256,1024,512,32,5,989.985,2.797,989.804,992.104,1002.252
psn_dynblock_adaptive,0,gbn_long64,256,1024,512,32,5,993.208,14.697,990.352,994.660,1075.029
psn_dynblock_adaptive,1,gbn_long64,256,1024,512,32,5,991.187,4.002,990.323,994.864,1010.909
ring_fixed,0,gbn_long64,256,1024,512,32,5,1041.155,6.509,1040.237,1043.969,1078.020
ring_fixed,1,gbn_long64,256,1024,512,32,5,1040.490,2.899,1040.246,1043.731,1048.044
index_only,0,gbn_long64,256,1024,512,32,5,181.823,0.946,181.520,182.699,185.684
index_only,1,gbn_long64,256,1024,512,32,5,181.716,1.145,181.463,182.374,186.251
fifo_bounded,0,gbn_short8,256,1024,512,32,5,1035.979,24.961,1030.442,1067.573,1127.628
fifo_bounded,1,gbn_short8,256,1024,512,32,5,1034.403,24.440,1029.338,1066.553,1113.516
