# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.293 ns/op; B=32(xval) median=0.375 ns/op
method,sort_impl,mode,N,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
psn_dynblock_adaptive,0,gbn_long64,2048,1024,512,32,5,1034.739,12.859,1035.076,1049.364,1068.742
psn_dynblock_adaptive,1,gbn_long64,2048,1024,512,32,5,1043.100,11.789,1045.040,1053.919,1078.198
ring_fixed,0,gbn_long64,2048,1024,512,32,5,1657.785,204.289,1791.603,1826.088,1899.274
ring_fixed,1,gbn_long64,2048,1024,512,32,5,1762.410,226.724,1883.670,1920.074,2026.211
index_only,0,gbn_long64,2048,1024,512,32,5,182.229,1.319,181.515,183.914,185.477
index_only,1,gbn_long64,2048,1024,512,32,5,182.343,1.262,181.579,184.056,186.083
fifo_bounded,0,gbn_short8,2048,1024,512,32,5,8169.237,244.828,8215.741,8436.929,8628.202
fifo_bounded,1,gbn_short8,2048,1024,512,32,5,8161.819,237.189,8217.000,8418.207,8624.858
chained_hash_bounded,0,gbn_short8,2048,1024,512,32,5,104.606,1.868,104.275,105.814,116.184
chained_hash_bounded,1,gbn_short8,2048,1024,512,32,5,105.123,2.420,104.701,106.226,118.678
balanced_tree_bounded,0,gbn_short8,2048,1024,512,32,5,184.490,2.233,184.192,186.562,192.441
balanced_tree_bounded,1,gbn_short8,2048,1024,512,32,5,184.644,2.009,184.680,186.510,190.385
psn_dynblock,0,gbn_short8,2048,1024,512,32,5,83.496,3.653,82.416,86.357,92.905
psn_dynblock,1,gbn_short8,2048,1024,512,32,5,81.581,1.702,81.060,82.893,89.844
psn_dynblock_adaptive,0,gbn_short8,2048,1024,512,32,5,84.011,2.469,83.010,87.821,91.637
psn_dynblock_adaptive,1,gbn_short8,2048,1024,512,32,5,83.526,1.730,83.084,85.178,89.067
ring_fixed,0,gbn_short8,2048,1024,512,32,5,167.465,10.328,165.972,173.644,201.125
ring_fixed,1,gbn_short8,2048,1024,512,32,5,168.591,9.199,170.301,173.105,178.000
index_only,0,gbn_short8,2048,1024,512,32,5,23.363,0.298,23.327,23.358,25.240
index_only,1,gbn_short8,2048,1024,512,32,5,23.356,0.248,23.327,23.357,24.812
fifo_bounded,0,sr_16,2048,1024,512,32,5,18002.996,148.524,17990.391,18166.932,18428.735
fifo_bounded,1,sr_16,2048,1024,512,32,5,17842.861,144.537,17827.032,18040.301,18246.929
chained_hash_bounded,0,sr_16,2048,1024,512,32,5,488.177,7.027,486.770,495.369,510.928
chained_hash_bounded,1,sr_16,2048,1024,512,32,5,323.913,3.231,323.145,326.854,336.607
balanced_tree_bounded,0,sr_16,2048,1024,512,32,5,838.896,5.979,838.101,845.352,860.551
balanced_tree_bounded,1,sr_16,2048,1024,512,32,5,674.310,5.740,673.959,679.226,691.544
psn_dynblock,0,sr_16,2048,1024,512,32,5,324.933,16.005,319.373,336.530,386.378
psn_dynblock,1,sr_16,2048,1024,512,32,5,320.741,4.049,319.768,325.192,332.608
psn_dynblock_adaptive,0,sr_16,2048,1024,512,32,5,320.440,4.917,319.740,326.254,337.744
psn_dynblock_adaptive,1,sr_16,2048,1024,512,32,5,320.061,4.026,319.602,325.442,332.767
ring_fixed,0,sr_16,2048,1024,512,32,5,391.261,21.986,387.896,395.255,427.296
ring_fixed,1,sr_16,2048,1024,512,32,5,399.675,3.783,398.709,403.883,413.871
index_only,0,sr_16,2048,1024,512,32,5,317.826,4.968,317.009,320.488,334.905
index_only,1,sr_16,2048,1024,512,32,5,156.705,1.049,156.503,157.802,160.983
fifo_bounded,0,sr_64,2048,1024,512,32,5,72713.637,3890.283,72342.199,72714.755,77824.449
fifo_bounded,1,sr_64,2048,1024,512,32,5,71333.622,297.626,71298.843,71592.458,72356.707
chained_hash_bounded,0,sr_64,2048,1024,512,32,5,2811.780,39.959,2804.072,2830.832,2895.144
chained_hash_bounded,1,sr_64,2048,1024,512,32,5,1802.785,41.919,1778.987,1866.661,1905.897
balanced_tree_bounded,0,sr_64,2048,1024,512,32,5,3756.313,15.602,3752.615,3780.655,3803.005
balanced_tree_bounded,1,sr_64,2048,1024,512,32,5,2823.615,11.893,2821.875,2837.017,2862.033
psn_dynblock,0,sr_64,2048,1024,512,32,5,1227.511,16.859,1220.536,1248.193,1298.113
psn_dynblock,1,sr_64,2048,1024,512,32,5,1219.832,7.525,1218.286,1224.566,1252.860
psn_dynblock_adaptive,0,sr_64,2048,1024,512,32,5,1219.150,12.988,1215.116,1233.235,1271.403
psn_dynblock_adaptive,1,sr_64,2048,1024,512,32,5,1222.202,8.789,1219.668,1230.096,1263.898
ring_fixed,0,sr_64,2048,1024,512,32,5,1817.614,27.041,1812.241,1830.564,1870.033
ring_fixed,1,sr_64,2048,1024,512,32,5,1867.467,12.376,1864.898,1878.040,1911.500
index_only,0,sr_64,2048,1024,512,32,5,1753.963,7.109,1753.089,1762.577,1778.245
index_only,1,sr_64,2048,1024,512,32,5,852.328,15.963,847.255,862.302,940.411
fifo_bounded,0,gbn_long64,4096,1024,512,32,5,133270.790,30028.483,130042.079,134057.462,243190.945
fifo_bounded,1,gbn_long64,4096,1024,512,32,5,130565.049,4530.643,130104.428,134881.127,149660.775
chained_hash_bounded,0,gbn_long64,4096,1024,512,32,5,1350.113,61.624,1333.042,1378.676,1695.505
chained_hash_bounded,1,gbn_long64,4096,1024,512,32,5,1342.149,40.640,1332.842,1357.806,1474.377
balanced_tree_bounded,0,gbn_long64,4096,1024,512,32,5,1571.852,66.258,1559.835,1588.005,2032.702
balanced_tree_bounded,1,gbn_long64,4096,1024,512,32,5,1726.625,318.341,1613.656,1852.476,3629.612
psn_dynblock,0,gbn_long64,4096,1024,512,32,5,1227.189,15.744,1224.417,1235.800,1289.088
psn_dynblock,1,gbn_long64,4096,1024,512,32,5,1244.810,8.208,1242.548,1254.386,1269.299
psn_dynblock_adaptive,0,gbn_long64,4096,1024,512,32,5,1229.690,45.019,1243.206,1253.862,1271.701
psn_dynblock_adaptive,1,gbn_long64,4096,1024,512,32,5,1242.565,11.397,1241.303,1254.210,1268.036
ring_fixed,0,gbn_long64,4096,1024,512,32,5,1954.468,99.921,1931.334,1996.068,2526.181
ring_fixed,1,gbn_long64,4096,1024,512,32,5,2004.931,69.200,1993.446,2042.459,2367.874
index_only,0,gbn_long64,4096,1024,512,32,5,181.756,0.965,181.288,183.133,184.339
index_only,1,gbn_long64,4096,1024,512,32,5,182.398,1.442,181.188,183.968,185.809
fifo_bounded,0,gbn_short8,4096,1024,512,32,5,16360.878,335.572,16397.790,16726.200,17203.389
fifo_bounded,1,gbn_short8,4096,1024,512,32,5,16364.133,329.395,16339.609,16762.594,17243.114
chained_hash_bounded,0,gbn_short8,4096,1024,512,32,5,128.089,6.574,124.856,136.331,143.562
chained_hash_bounded,1,gbn_short8,4096,1024,512,32,5,131.940,5.814,134.364,136.799,141.614
balanced_tree_bounded,0,gbn_short8,4096,1024,512,32,5,232.142,3.559,231.545,236.494,242.927
balanced_tree_bounded,1,gbn_short8,4096,1024,512,32,5,230.252,2.990,230.042,233.415,239.946
psn_dynblock,0,gbn_short8,4096,1024,512,32,5,115.334,15.593,111.189,142.589,174.580
psn_dynblock,1,gbn_short8,4096,1024,512,32,5,107.905,3.515,107.010,112.143,121.538
psn_dynblock_adaptive,0,gbn_short8,4096,1024,512,32,5,109.789,8.569,107.105,116.430,154.626
psn_dynblock_adaptive,1,gbn_short8,4096,1024,512,32,5,106.914,2.916,106.084,109.763,121.790
ring_fixed,0,gbn_short8,4096,1024,512,32,5,218.605,85.971,195.884,271.771,669.931
ring_fixed,1,gbn_short8,4096,1024,512,32,5,210.255,20.031,202.882,234.510,268.690
index_only,0,gbn_short8,4096,1024,512,32,5,23.378,0.530,23.325,23.355,25.086
index_only,1,gbn_short8,4096,1024,512,32,5,23.362,0.195,23.330,23.409,24.934
fifo_bounded,0,sr_16,4096,1024,512,32,5,36858.351,10315.599,35319.157,35643.105,117129.375
fifo_bounded,1,sr_16,4096,1024,512,32,5,35074.217,276.703,35060.195,35385.672,35912.131
chained_hash_bounded,0,sr_16,4096,1024,512,32,5,571.267,16.415,567.692,582.468,663.518
chained_hash_bounded,1,sr_16,4096,1024,512,32,5,389.872,9.742,390.883,401.059,412.182
balanced_tree_bounded,0,sr_16,4096,1024,512,32,5,986.318,11.389,984.484,998.004,1030.588
balanced_tree_bounded,1,sr_16,4096,1024,512,32,5,838.923,83.766,818.939,848.636,1292.297
psn_dynblock,0,sr_16,4096,1024,512,32,5,363.801,32.472,355.177,380.346,528.718
psn_dynblock,1,sr_16,4096,1024,512,32,5,354.114,5.192,352.913,358.672,370.139
psn_dynblock_adaptive,0,sr_16,4096,1024,512,32,5,354.337,5.359,352.695,360.858,374.060
psn_dynblock_adaptive,1,sr_16,4096,1024,512,32,5,355.917,6.317,353.543,365.805,375.262
ring_fixed,0,sr_16,4096,1024,512,32,5,469.624,54.494,452.715,523.579,654.825
ring_fixed,1,sr_16,4096,1024,512,32,5,471.113,21.378,465.342,490.929,539.150
index_only,0,sr_16,4096,1024,512,32,5,318.096,2.925,317.527,320.975,330.681
index_only,1,sr_16,4096,1024,512,32,5,156.723,1.043,156.580,157.980,160.564
fifo_bounded,0,sr_64,4096,1024,512,32,5,145462.385,29895.064,141122.565,142228.783,300496.083
fifo_bounded,1,sr_64,4096,1024,512,32,5,142507.525,9206.808,140793.533,142478.640,205959.210
chained_hash_bounded,0,sr_64,4096,1024,512,32,5,3165.524,53.482,3149.829,3207.611,3416.737
chained_hash_bounded,1,sr_64,4096,1024,512,32,5,2198.291,46.598,2184.531,2213.941,2439.926
balanced_tree_bounded,0,sr_64,4096,1024,512,32,5,4349.341,102.987,4321.860,4401.759,4713.860
balanced_tree_bounded,1,sr_64,4096,1024,512,32,5,3397.386,160.860,3368.796,3418.704,3878.581
psn_dynblock,0,sr_64,4096,1024,512,32,5,1543.889,57.071,1558.797,1582.271,1684.341
psn_dynblock,1,sr_64,4096,1024,512,32,5,1499.647,78.659,1450.073,1587.099,1658.861
psn_dynblock_adaptive,0,sr_64,4096,1024,512,32,5,1579.728,18.073,1579.630,1594.728,1615.877
psn_dynblock_adaptive,1,sr_64,4096,1024,512,32,5,1579.653,9.182,1576.620,1592.563,1607.971
ring_fixed,0,sr_64,4096,1024,512,32,5,2004.709,131.830,1992.423,2082.657,2612.950
ring_fixed,1,sr_64,4096,1024,512,32,5,2078.459,95.600,2059.914,2127.205,2543.296
index_only,0,sr_64,4096,1024,512,32,5,1759.770,9.146,1758.158,1768.480,1802.951
index_only,1,sr_64,4096,1024,512,32,5,847.352,7.148,845.551,852.473,881.817
fifo_bounded,0,gbn_long64,5120,1024,512,32,5,162924.016,4108.056,162798.606,167117.505,170099.171
fifo_bounded,1,gbn_long64,5120,1024,512,32,5,162990.881,4428.628,163096.883,167149.337,170355.730
chained_hash_bounded,0,gbn_long64,5120,1024,512,32,5,1325.059,74.722,1368.487,1386.282,1421.644
chained_hash_bounded,1,gbn_long64,5120,1024,512,32,5,1356.339,98.548,1387.569,1422.728,1684.864
balanced_tree_bounded,0,gbn_long64,5120,1024,512,32,5,1620.802,43.145,1625.080,1646.109,1865.074
balanced_tree_bounded,1,gbn_long64,5120,1024,512,32,5,1634.198,40.414,1627.741,1654.308,1913.378
psn_dynblock,0,gbn_long64,5120,1024,512,32,5,1230.882,61.343,1262.816,1278.864,1373.228
psn_dynblock,1,gbn_long64,5120,1024,512,32,5,1268.748,44.384,1275.887,1295.355,1354.613
psn_dynblock_adaptive,0,gbn_long64,5120,1024,512,32,5,1270.561,60.468,1291.690,1307.321,1323.649
psn_dynblock_adaptive,1,gbn_long64,5120,1024,512,32,5,1218.153,83.721,1282.790,1302.632,1327.568
ring_fixed,0,gbn_long64,5120,1024,512,32,5,1889.116,245.902,1988.833,2053.093,2799.709
ring_fixed,1,gbn_long64,5120,1024,512,32,5,2055.663,141.680,2062.388,2159.655,2395.131
index_only,0,gbn_long64,5120,1024,512,32,5,183.028,8.798,181.521,184.202,256.983
index_only,1,gbn_long64,5120,1024,512,32,5,181.856,1.033,181.503,183.884,184.982
fifo_bounded,0,gbn_short8,5120,1024,512,32,5,20444.656,484.949,20477.476,21007.718,21568.349
fifo_bounded,1,gbn_short8,5120,1024,512,32,5,20455.266,549.516,20477.845,21033.983,22762.400
chained_hash_bounded,0,gbn_short8,5120,1024,512,32,5,143.187,9.092,141.298,145.230,186.331
chained_hash_bounded,1,gbn_short8,5120,1024,512,32,5,143.330,1.879,142.959,145.845,150.883
balanced_tree_bounded,0,gbn_short8,5120,1024,512,32,5,248.735,2.885,248.214,252.280,261.150
balanced_tree_bounded,1,gbn_short8,5120,1024,512,32,5,250.033,4.326,248.588,255.361,266.350
psn_dynblock,0,gbn_short8,5120,1024,512,32,5,112.048,14.967,109.153,112.533,207.662
psn_dynblock,1,gbn_short8,5120,1024,512,32,5,105.306,9.897,112.131,115.404,119.056
psn_dynblock_adaptive,0,gbn_short8,5120,1024,512,32,5,114.230,1.743,113.816,115.920,121.056
psn_dynblock_adaptive,1,gbn_short8,5120,1024,512,32,5,114.534,2.348,113.894,117.224,120.950
ring_fixed,0,gbn_short8,5120,1024,512,32,5,209.854,43.811,203.079,218.570,417.482
ring_fixed,1,gbn_short8,5120,1024,512,32,5,311.108,173.485,274.227,321.955,1405.558
index_only,0,gbn_short8,5120,1024,512,32,5,23.522,0.737,23.353,23.667,27.696
index_only,1,gbn_short8,5120,1024,512,32,5,23.467,0.899,23.325,23.359,29.039
fifo_bounded,0,sr_16,5120,1024,512,32,5,44126.110,1393.997,43995.903,44410.078,46333.937
fifo_bounded,1,sr_16,5120,1024,512,32,5,47289.350,17773.960,43753.197,44549.987,149426.638
chained_hash_bounded,0,sr_16,5120,1024,512,32,5,595.635,20.489,590.902,602.551,713.571
chained_hash_bounded,1,sr_16,5120,1024,512,32,5,414.783,11.073,411.929,420.138,460.787
balanced_tree_bounded,0,sr_16,5120,1024,512,32,5,1068.206,11.292,1066.308,1081.692,1114.474
balanced_tree_bounded,1,sr_16,5120,1024,512,32,5,894.603,12.974,892.213,905.532,965.520
psn_dynblock,0,sr_16,5120,1024,512,32,5,370.813,30.429,365.496,373.798,533.733
psn_dynblock,1,sr_16,5120,1024,512,32,5,376.708,24.040,372.178,384.124,565.978
psn_dynblock_adaptive,0,sr_16,5120,1024,512,32,5,368.554,8.556,367.041,373.208,408.800
psn_dynblock_adaptive,1,sr_16,5120,1024,512,32,5,369.200,5.929,367.747,374.274,394.677
ring_fixed,0,sr_16,5120,1024,512,32,5,522.865,69.422,513.336,540.516,702.604
ring_fixed,1,sr_16,5120,1024,512,32,5,553.349,65.290,535.905,620.014,853.057
index_only,0,sr_16,5120,1024,512,32,5,318.816,2.519,318.189,322.023,328.219
index_only,1,sr_16,5120,1024,512,32,5,156.573,1.408,156.292,157.961,162.283
fifo_bounded,0,sr_64,5120,1024,512,32,5,175985.999,931.145,175888.938,177123.687,178798.990
fifo_bounded,1,sr_64,5120,1024,512,32,5,175607.986,7540.521,174706.355,175779.090,206308.594
chained_hash_bounded,0,sr_64,5120,1024,512,32,5,3133.805,83.128,3083.647,3259.670,3366.815
chained_hash_bounded,1,sr_64,5120,1024,512,32,5,2184.686,76.986,2135.803,2294.948,2334.274
balanced_tree_bounded,0,sr_64,5120,1024,512,32,5,4639.745,57.346,4626.562,4707.937,4841.857
balanced_tree_bounded,1,sr_64,5120,1024,512,32,5,3601.453,84.295,3581.770,3661.649,4059.869
psn_dynblock,0,sr_64,5120,1024,512,32,5,1555.179,84.899,1512.062,1660.720,1979.669
psn_dynblock,1,sr_64,5120,1024,512,32,5,1557.859,86.568,1504.677,1693.519,1728.979
psn_dynblock_adaptive,0,sr_64,5120,1024,512,32,5,1574.321,95.347,1500.629,1695.954,1745.327
psn_dynblock_adaptive,1,sr_64,5120,1024,512,32,5,1540.939,82.678,1497.641,1687.719,1752.228
ring_fixed,0,sr_64,5120,1024,512,32,5,2133.202,545.422,1870.715,2692.339,4779.048
ring_fixed,1,sr_64,5120,1024,512,32,5,1982.259,248.254,1861.295,2225.129,2709.833
index_only,0,sr_64,5120,1024,512,32,5,1780.868,10.376,1778.478,1796.099,1808.683
index_only,1,sr_64,5120,1024,512,32,5,849.321,11.282,845.618,859.772,900.843
