exp1b floor: B=512 median=0.293 ns/op; B=32 (xval) median=0.375 ns/op
  psn_dynblock           si=1 sr_64       N= 4096  p50= 1450.073  p90= 1587.099
  psn_dynblock_adaptive  si=0 sr_64       N= 4096  p50= 1579.630  p90= 1594.728
  psn_dynblock_adaptive  si=1 sr_64       N= 4096  p50= 1576.620  p90= 1592.563
  ring_fixed             si=0 sr_64       N= 4096  p50= 1992.423  p90= 2082.657
  ring_fixed             si=1 sr_64       N= 4096  p50= 2059.914  p90= 2127.205
  index_only             si=0 sr_64       N= 4096  p50= 1758.158  p90= 1768.480
  index_only             si=1 sr_64       N= 4096  p50=  845.551  p90=  852.473
  fifo_bounded           si=0 gbn_long64  N= 5120  p50=162798.606  p90=167117.505
  fifo_bounded           si=1 gbn_long64  N= 5120  p50=163096.883  p90=167149.337
  chained_hash_bounded   si=0 gbn_long64  N= 5120  p50= 1368.487  p90= 1386.282
  chained_hash_bounded   si=1 gbn_long64  N= 5120  p50= 1387.569  p90= 1422.728
  balanced_tree_bounded  si=0 gbn_long64  N= 5120  p50= 1625.080  p90= 1646.109
  balanced_tree_bounded  si=1 gbn_long64  N= 5120  p50= 1627.741  p90= 1654.308
  psn_dynblock           si=0 gbn_long64  N= 5120  p50= 1262.816  p90= 1278.864
  psn_dynblock           si=1 gbn_long64  N= 5120  p50= 1275.887  p90= 1295.355
  psn_dynblock_adaptive  si=0 gbn_long64  N= 5120  p50= 1291.690  p90= 1307.321
  psn_dynblock_adaptive  si=1 gbn_long64  N= 5120  p50= 1282.790  p90= 1302.632
  ring_fixed             si=0 gbn_long64  N= 5120  p50= 1988.833  p90= 2053.093
  ring_fixed             si=1 gbn_long64  N= 5120  p50= 2062.388  p90= 2159.655
  index_only             si=0 gbn_long64  N= 5120  p50=  181.521  p90=  184.202
  index_only             si=1 gbn_long64  N= 5120  p50=  181.503  p90=  183.884
  fifo_bounded           si=0 gbn_short8  N= 5120  p50=20477.476  p90=21007.718
  fifo_bounded           si=1 gbn_short8  N= 5120  p50=20477.845  p90=21033.983
  chained_hash_bounded   si=0 gbn_short8  N= 5120  p50=  141.298  p90=  145.230
  chained_hash_bounded   si=1 gbn_short8  N= 5120  p50=  142.959  p90=  145.845
  balanced_tree_bounded  si=0 gbn_short8  N= 5120  p50=  248.214  p90=  252.280
  balanced_tree_bounded  si=1 gbn_short8  N= 5120  p50=  248.588  p90=  255.361
  psn_dynblock           si=0 gbn_short8  N= 5120  p50=  109.153  p90=  112.533
  psn_dynblock           si=1 gbn_short8  N= 5120  p50=  112.131  p90=  115.404
  psn_dynblock_adaptive  si=0 gbn_short8  N= 5120  p50=  113.816  p90=  115.920
  psn_dynblock_adaptive  si=1 gbn_short8  N= 5120  p50=  113.894  p90=  117.224
  ring_fixed             si=0 gbn_short8  N= 5120  p50=  203.079  p90=  218.570
  ring_fixed             si=1 gbn_short8  N= 5120  p50=  274.227  p90=  321.955
  index_only             si=0 gbn_short8  N= 5120  p50=   23.353  p90=   23.667
  index_only             si=1 gbn_short8  N= 5120  p50=   23.325  p90=   23.359
  fifo_bounded           si=0 sr_16       N= 5120  p50=43995.903  p90=44410.078
  fifo_bounded           si=1 sr_16       N= 5120  p50=43753.197  p90=44549.987
  chained_hash_bounded   si=0 sr_16       N= 5120  p50=  590.902  p90=  602.551
  chained_hash_bounded   si=1 sr_16       N= 5120  p50=  411.929  p90=  420.138
  balanced_tree_bounded  si=0 sr_16       N= 5120  p50= 1066.308  p90= 1081.692
  balanced_tree_bounded  si=1 sr_16       N= 5120  p50=  892.213  p90=  905.532
  psn_dynblock           si=0 sr_16       N= 5120  p50=  365.496  p90=  373.798
  psn_dynblock           si=1 sr_16       N= 5120  p50=  372.178  p90=  384.124
  psn_dynblock_adaptive  si=0 sr_16       N= 5120  p50=  367.041  p90=  373.208
  psn_dynblock_adaptive  si=1 sr_16       N= 5120  p50=  367.747  p90=  374.274
  ring_fixed             si=0 sr_16       N= 5120  p50=  513.336  p90=  540.516
  ring_fixed             si=1 sr_16       N= 5120  p50=  535.905  p90=  620.014
  index_only             si=0 sr_16       N= 5120  p50=  318.189  p90=  322.023
  index_only             si=1 sr_16       N= 5120  p50=  156.292  p90=  157.961
  fifo_bounded           si=0 sr_64       N= 5120  p50=175888.938  p90=177123.687
  fifo_bounded           si=1 sr_64       N= 5120  p50=174706.355  p90=175779.090
  chained_hash_bounded   si=0 sr_64       N= 5120  p50= 3083.647  p90= 3259.670
  chained_hash_bounded   si=1 sr_64       N= 5120  p50= 2135.803  p90= 2294.948
  balanced_tree_bounded  si=0 sr_64       N= 5120  p50= 4626.562  p90= 4707.937
  balanced_tree_bounded  si=1 sr_64       N= 5120  p50= 3581.770  p90= 3661.649
  psn_dynblock           si=0 sr_64       N= 5120  p50= 1512.062  p90= 1660.720
  psn_dynblock           si=1 sr_64       N= 5120  p50= 1504.677  p90= 1693.519
  psn_dynblock_adaptive  si=0 sr_64       N= 5120  p50= 1500.629  p90= 1695.954
  psn_dynblock_adaptive  si=1 sr_64       N= 5120  p50= 1497.641  p90= 1687.719
  ring_fixed             si=0 sr_64       N= 5120  p50= 1870.715  p90= 2692.339
  ring_fixed             si=1 sr_64       N= 5120  p50= 1861.295  p90= 2225.129
  index_only             si=0 sr_64       N= 5120  p50= 1778.478  p90= 1796.099
  index_only             si=1 sr_64       N= 5120  p50=  845.618  p90=  859.772
exp1b_lookup done -> out/exp1b_lookup/lookup_summary.csv + out/exp1b_lookup/n_cmp.csv
