exp1b floor: B=512 median=0.293 ns/op; B=32 (xval) median=0.375 ns/op
  balanced_tree_bounded  si=1 gbn_short8  N=  256  p50=  129.313  p90=  130.441
  psn_dynblock           si=0 gbn_short8  N=  256  p50=   74.758  p90=   77.608
  psn_dynblock           si=1 gbn_short8  N=  256  p50=   74.628  p90=   75.949
  psn_dynblock_adaptive  si=0 gbn_short8  N=  256  p50=   74.760  p90=   76.144
  psn_dynblock_adaptive  si=1 gbn_short8  N=  256  p50=   75.283  p90=   78.255
  ring_fixed             si=0 gbn_short8  N=  256  p50=   77.941  p90=   78.162
  ring_fixed             si=1 gbn_short8  N=  256  p50=   77.930  p90=   78.221
  index_only             si=0 gbn_short8  N=  256  p50=   23.324  p90=   23.354
  index_only             si=1 gbn_short8  N=  256  p50=   23.333  p90=   23.857
  fifo_bounded           si=0 sr_16       N=  256  p50= 2427.792  p90= 2451.833
  fifo_bounded           si=1 sr_16       N=  256  p50= 2263.773  p90= 2282.176
  chained_hash_bounded   si=0 sr_16       N=  256  p50=  440.744  p90=  447.762
  chained_hash_bounded   si=1 sr_16       N=  256  p50=  276.270  p90=  277.662
  balanced_tree_bounded  si=0 sr_16       N=  256  p50=  612.354  p90=  616.363
  balanced_tree_bounded  si=1 sr_16       N=  256  p50=  450.567  p90=  453.055
  psn_dynblock           si=0 sr_16       N=  256  p50=  214.127  p90=  216.607
  psn_dynblock           si=1 sr_16       N=  256  p50=  213.346  p90=  214.543
  psn_dynblock_adaptive  si=0 sr_16       N=  256  p50=  216.196  p90=  219.681
  psn_dynblock_adaptive  si=1 sr_16       N=  256  p50=  214.307  p90=  222.649
  ring_fixed             si=0 sr_16       N=  256  p50=  206.391  p90=  207.865
  ring_fixed             si=1 sr_16       N=  256  p50=  206.552  p90=  210.103
  index_only             si=0 sr_16       N=  256  p50=  317.762  p90=  319.694
  index_only             si=1 sr_16       N=  256  p50=  155.979  p90=  157.367
  fifo_bounded           si=0 sr_64       N=  256  p50=10192.542  p90=10265.039
  fifo_bounded           si=1 sr_64       N=  256  p50= 9264.811  p90= 9317.943
  chained_hash_bounded   si=0 sr_64       N=  256  p50= 2587.884  p90= 2601.021
  chained_hash_bounded   si=1 sr_64       N=  256  p50= 1658.940  p90= 1662.791
  balanced_tree_bounded  si=0 sr_64       N=  256  p50= 2943.447  p90= 2953.770
  balanced_tree_bounded  si=1 sr_64       N=  256  p50= 2027.609  p90= 2035.266
  psn_dynblock           si=0 sr_64       N=  256  p50=  959.716  p90=  969.901
  psn_dynblock           si=1 sr_64       N=  256  p50=  959.649  p90=  963.410
  psn_dynblock_adaptive  si=0 sr_64       N=  256  p50=  960.734  p90=  968.302
  psn_dynblock_adaptive  si=1 sr_64       N=  256  p50=  960.071  p90=  968.619
  ring_fixed             si=0 sr_64       N=  256  p50=  991.589  p90=  997.156
  ring_fixed             si=1 sr_64       N=  256  p50=  992.015  p90=  996.928
  index_only             si=0 sr_64       N=  256  p50= 1749.913  p90= 1760.650
  index_only             si=1 sr_64       N=  256  p50=  845.002  p90=  859.191
  fifo_bounded           si=0 gbn_long64  N=  512  p50=16124.668  p90=16601.037
  fifo_bounded           si=1 gbn_long64  N=  512  p50=16149.353  p90=16612.352
  chained_hash_bounded   si=0 gbn_long64  N=  512  p50= 1019.511  p90= 1026.052
  chained_hash_bounded   si=1 gbn_long64  N=  512  p50= 1019.238  p90= 1026.917
  balanced_tree_bounded  si=0 gbn_long64  N=  512  p50= 1133.630  p90= 1136.830
  balanced_tree_bounded  si=1 gbn_long64  N=  512  p50= 1133.944  p90= 1138.937
  psn_dynblock           si=0 gbn_long64  N=  512  p50=  992.977  p90=  997.555
  psn_dynblock           si=1 gbn_long64  N=  512  p50=  992.630  p90=  996.375
  psn_dynblock_adaptive  si=0 gbn_long64  N=  512  p50=  993.310  p90= 1000.631
  psn_dynblock_adaptive  si=1 gbn_long64  N=  512  p50=  993.662  p90=  997.845
  ring_fixed             si=0 gbn_long64  N=  512  p50= 1135.465  p90= 1150.220
  ring_fixed             si=1 gbn_long64  N=  512  p50= 1132.348  p90= 1144.668
  index_only             si=0 gbn_long64  N=  512  p50=  181.176  p90=  182.164
  index_only             si=1 gbn_long64  N=  512  p50=  181.181  p90=  182.215
  fifo_bounded           si=0 gbn_short8  N=  512  p50= 2053.301  p90= 2117.193
  fifo_bounded           si=1 gbn_short8  N=  512  p50= 2053.175  p90= 2120.227
  chained_hash_bounded   si=0 gbn_short8  N=  512  p50=   91.477  p90=   92.136
  chained_hash_bounded   si=1 gbn_short8  N=  512  p50=   91.378  p90=   91.952
  balanced_tree_bounded  si=0 gbn_short8  N=  512  p50=  145.386  p90=  146.912
  balanced_tree_bounded  si=1 gbn_short8  N=  512  p50=  145.223  p90=  146.753
  psn_dynblock           si=0 gbn_short8  N=  512  p50=   77.073  p90=   78.628
  psn_dynblock           si=1 gbn_short8  N=  512  p50=   77.449  p90=   80.655
  psn_dynblock_adaptive  si=0 gbn_short8  N=  512  p50=   79.434  p90=   87.027
  psn_dynblock_adaptive  si=1 gbn_short8  N=  512  p50=   76.335  p90=   76.877
  ring_fixed             si=0 gbn_short8  N=  512  p50=   84.173  p90=   84.725
  ring_fixed             si=1 gbn_short8  N=  512  p50=   84.103  p90=   84.986
  index_only             si=0 gbn_short8  N=  512  p50=   23.321  p90=   23.354
  index_only             si=1 gbn_short8  N=  512  p50=   23.320  p90=   23.354
  fifo_bounded           si=0 sr_16       N=  512  p50= 4497.679  p90= 4540.424
  fifo_bounded           si=1 sr_16       N=  512  p50= 4332.301  p90= 4377.198
  chained_hash_bounded   si=0 sr_16       N=  512  p50=  450.356  p90=  454.599
  chained_hash_bounded   si=1 sr_16       N=  512  p50=  287.821  p90=  290.233
  balanced_tree_bounded  si=0 sr_16       N=  512  p50=  673.150  p90=  677.997
  balanced_tree_bounded  si=1 sr_16       N=  512  p50=  510.606  p90=  514.754
  psn_dynblock           si=0 sr_16       N=  512  p50=  241.009  p90=  251.302
  psn_dynblock           si=1 sr_16       N=  512  p50=  238.371  p90=  242.230
  psn_dynblock_adaptive  si=0 sr_16       N=  512  p50=  242.991  p90=  249.368
  psn_dynblock_adaptive  si=1 sr_16       N=  512  p50=  242.236  p90=  250.102
  ring_fixed             si=0 sr_16       N=  512  p50=  239.154  p90=  244.196
  ring_fixed             si=1 sr_16       N=  512  p50=  240.259  p90=  243.365
  index_only             si=0 sr_16       N=  512  p50=  316.629  p90=  319.467
  index_only             si=1 sr_16       N=  512  p50=  155.900  p90=  157.490
  fifo_bounded           si=0 sr_64       N=  512  p50=18365.662  p90=18428.318
  fifo_bounded           si=1 sr_64       N=  512  p50=17432.266  p90=17502.940
  chained_hash_bounded   si=0 sr_64       N=  512  p50= 2614.762  p90= 2635.959
  chained_hash_bounded   si=1 sr_64       N=  512  p50= 1687.302  p90= 1693.363
  balanced_tree_bounded  si=0 sr_64       N=  512  p50= 3219.963  p90= 3269.219
  balanced_tree_bounded  si=1 sr_64       N=  512  p50= 2302.174  p90= 2312.566
  psn_dynblock           si=0 sr_64       N=  512  p50= 1033.920  p90= 1051.366
  psn_dynblock           si=1 sr_64       N=  512  p50= 1034.305  p90= 1038.936
  psn_dynblock_adaptive  si=0 sr_64       N=  512  p50= 1034.700  p90= 1052.030
  psn_dynblock_adaptive  si=1 sr_64       N=  512  p50= 1034.675  p90= 1055.778
  ring_fixed             si=0 sr_64       N=  512  p50= 1127.911  p90= 1140.776
  ring_fixed             si=1 sr_64       N=  512  p50= 1127.045  p90= 1135.523
  index_only             si=0 sr_64       N=  512  p50= 1751.013  p90= 1766.570
  index_only             si=1 sr_64       N=  512  p50=  845.086  p90=  851.862
  fifo_bounded           si=0 gbn_long64  N= 1024  p50=32828.670  p90=34040.574
  fifo_bounded           si=1 gbn_long64  N= 1024  p50=32814.322  p90=33750.519
  chained_hash_bounded   si=0 gbn_long64  N= 1024  p50= 1031.537  p90= 1037.903
  chained_hash_bounded   si=1 gbn_long64  N= 1024  p50= 1030.619  p90= 1037.903
  balanced_tree_bounded  si=0 gbn_long64  N= 1024  p50= 1179.757  p90= 1184.970
  balanced_tree_bounded  si=1 gbn_long64  N= 1024  p50= 1178.888  p90= 1182.668
  psn_dynblock           si=0 gbn_long64  N= 1024  p50=  993.735  p90= 1012.754
  psn_dynblock           si=1 gbn_long64  N= 1024  p50=  994.157  p90=  996.571
  psn_dynblock_adaptive  si=0 gbn_long64  N= 1024  p50=  995.334  p90= 1029.911
  psn_dynblock_adaptive  si=1 gbn_long64  N= 1024  p50=  995.066  p90= 1008.196
  ring_fixed             si=0 gbn_long64  N= 1024  p50= 1485.931  p90= 1527.797
  ring_fixed             si=1 gbn_long64  N= 1024  p50= 1323.486  p90= 1572.672
  index_only             si=0 gbn_long64  N= 1024  p50=  181.310  p90=  182.498
  index_only             si=1 gbn_long64  N= 1024  p50=  181.474  p90=  182.610
  fifo_bounded           si=0 gbn_short8  N= 1024  p50= 4120.409  p90= 4236.761
  fifo_bounded           si=1 gbn_short8  N= 1024  p50= 4115.295  p90= 4234.922
  chained_hash_bounded   si=0 gbn_short8  N= 1024  p50=   94.415  p90=   95.850
  chained_hash_bounded   si=1 gbn_short8  N= 1024  p50=   93.979  p90=   94.633
