# exp1a store time cost (batch-amortized). N=4096 timed_ops=100000 reps=2 warm=100000
# B: main=2048 (n_batches=48), xval=1024 (n_batches=97)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), psn_dynblock_fixed=S=4096 固定
# alloc_mode: pooled=一次性预分配复用(主结果) perstore=逐 store malloc/free(第 5 条正交)
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查); block_S=0 表示非 dynblock
# n_malloc/n_free: pooled 恒 0; perstore=计时期逐 store malloc/free 实计数(约 reps*timed_ops)
method,alloc_mode,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_free,n_resize
fifo_bounded,pooled,2048,4096,1024,97,2,43.874,0.929,43.522,44.911,48.773,0.189,0,0,0,0
chained_hash_bounded,pooled,2048,4096,1024,97,2,44.866,0.954,44.522,45.841,49.817,0.189,0,0,0,0
balanced_tree_bounded,pooled,2048,4096,1024,97,2,69.500,2.400,69.108,71.083,79.888,0.189,0,0,0,0
psn_dynblock,pooled,2048,4096,1024,97,2,42.317,0.522,42.162,42.983,45.193,0.189,2048,0,0,0
psn_dynblock_fixed,pooled,2048,4096,1024,97,2,49.514,1.364,49.234,50.446,56.015,0.189,4096,0,0,0
index_only,pooled,2048,4096,1024,97,2,1.113,0.115,1.106,1.112,1.185,0.189,0,0,0,0
fifo_bounded,pooled,4096,4096,1024,97,2,90.295,8.979,86.819,98.670,125.912,0.189,0,0,0,0
chained_hash_bounded,pooled,4096,4096,1024,97,2,93.302,10.301,88.825,110.377,132.062,0.189,0,0,0,0
balanced_tree_bounded,pooled,4096,4096,1024,97,2,111.455,3.150,110.425,114.844,124.275,0.189,0,0,0,0
psn_dynblock,pooled,4096,4096,1024,97,2,89.976,2.407,89.432,93.255,98.974,0.189,4096,0,0,0
psn_dynblock_fixed,pooled,4096,4096,1024,97,2,88.157,1.189,87.963,89.747,91.601,0.189,4096,0,0,0
index_only,pooled,4096,4096,1024,97,2,1.105,0.005,1.107,1.111,1.113,0.189,0,0,0,0
