# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,21,0,0,0,4.746
1,29,0,0,0,4.743
2,36,0,0,0,4.868
3,46,0,0,0,4.750
4,3805,3744,0,0,4.854
5,47,0,0,0,4.857
6,43,0,0,0,4.739
7,21,0,0,0,4.857
8,17,0,0,0,4.851
9,7,0,0,0,4.749
10,17,0,0,819,4.751
11,16,0,0,0,4.738
12,14,0,0,0,4.739
13,19,0,0,0,4.737
14,72,0,0,0,4.854
15,75,0,0,0,4.736
16,29,0,0,0,4.736
17,26,0,0,0,4.735
18,41,0,0,819,4.751
19,28,0,0,0,4.856
20,8,0,0,0,4.751
21,8,0,0,0,4.867
22,107,0,0,0,4.746
23,67,0,0,0,4.741
24,16,0,0,0,4.749
25,16,0,0,0,4.740
26,38,0,0,819,4.756
27,4,0,0,0,4.870
28,4,0,0,0,4.739
29,5,0,0,0,4.740
30,165,0,0,0,4.861
31,72,0,0,0,4.740
32,33,0,0,0,4.739
33,26,0,0,0,4.752
34,192,0,0,819,4.747
35,24,0,0,0,4.741
36,4,0,0,0,4.864
37,4,0,0,0,4.757
38,224,0,0,0,4.858
39,143,0,0,0,4.755
40,69,0,0,0,4.754
41,91,0,0,0,4.746
42,107,0,0,0,4.738
43,6760,6574,0,0,4.752
44,24,0,0,819,4.755
45,152,0,0,0,4.819
46,27,0,0,0,4.740
47,12,0,0,0,4.865
48,95,0,0,0,4.747
49,106,0,0,0,4.804
50,438,0,0,0,4.735
51,55,0,0,0,5.017
52,50,0,0,0,4.743
53,70,0,0,0,4.860
54,108,0,0,0,4.734
55,4181,3850,0,0,4.868
56,24,0,0,819,4.757
57,130,0,0,0,4.815
58,29,0,0,0,4.745
59,17,0,0,0,4.734
60,38,0,0,0,4.748
61,100,0,0,0,4.753
62,120,0,0,0,4.753
63,35,0,0,0,4.743
64,71,0,0,0,4.747
65,118,0,0,0,4.864
66,114,0,0,0,4.736
67,2980,2871,0,0,4.755
68,24,0,0,819,4.755
69,27,0,0,0,4.754
70,28,0,0,0,4.894
71,13,0,0,0,4.745
72,86,0,0,0,4.863
73,104,0,0,0,4.752
74,54,0,0,0,4.870
75,62,0,0,0,4.736
76,120,0,0,0,4.745
77,85,0,0,0,4.861
78,38,0,0,0,4.738
79,2486,2465,0,0,4.745
80,10,0,0,819,4.742
81,121,0,0,0,4.753
82,29,0,0,0,4.748
83,12,0,0,0,4.736
84,34,0,0,0,4.744
85,106,0,0,0,4.750
86,126,0,0,0,4.744
87,57,0,0,0,4.742
88,98,0,0,0,4.739
89,227,0,0,0,4.860
90,113,0,0,0,4.754
91,3436,3408,0,0,4.743
92,29,0,0,819,4.753
93,33,0,0,0,4.748
94,30,0,0,0,4.869
95,13,0,0,0,4.741
96,42,0,0,0,4.746
97,131,0,0,0,4.815
98,112,0,0,0,4.873
99,33,0,0,0,4.749
100,49,0,0,0,4.743
101,119,0,0,0,4.860
102,185,0,0,0,4.738
103,10711,10523,0,0,4.741
104,29,0,0,819,4.752
105,24,0,0,0,4.759
