epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,335.5443,24,25,0,102400
1,0,335.5443,19,19,0,77824
2,0,335.5443,27,29,0,118784
3,0,335.5443,26,27,0,110592
4,1,335.5443,20,20,0,20480
5,1,335.5443,21,22,0,22528
6,1,335.5443,18,20,0,20480
7,1,335.5443,25,27,0,27648
8,1,335.5443,16,16,0,16384
9,1,335.5443,14,14,0,14336
10,1,335.5443,18,20,0,20480
11,1,335.5443,21,21,0,21504
12,1,335.5443,22,23,0,23552
13,1,335.5443,15,15,0,15360
14,1,335.5443,15,15,0,15360
15,1,335.5443,16,17,0,17408
16,2,335.5443,15,16,0,65536
17,2,335.5443,25,26,0,106496
18,3,335.5443,23,25,0,25600
19,3,335.5443,17,17,0,17408
20,3,335.5443,21,24,0,24576
21,3,335.5443,19,22,0,22528
22,3,335.5443,33,35,0,35840
23,3,335.5443,22,24,0,24576
24,3,335.5443,25,26,0,26624
25,3,335.5443,22,22,0,22528
26,3,335.5443,28,31,0,31744
27,3,335.5443,22,22,0,22528
28,3,335.5443,15,16,0,16384
29,3,335.5443,17,17,0,17408
