# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,8201,0,0,0,5614.393
1,7201,0,0,0,4656.946
2,16802,0,0,0,12139.157
3,8401,0,0,0,4261.680
4,6400,0,0,0,5061.002
5,43505,32504,0,0,4743.383
6,7601,0,0,0,4212.651
7,6001,0,0,0,4237.263
8,5300,0,0,0,5004.354
9,4800,0,0,0,4852.479
10,6300,0,0,0,4903.657
11,4600,0,0,0,6276.100
12,6100,0,0,0,10910.777
13,7200,0,0,0,9133.400
14,108513,0,0,0,7466.585
15,5500,0,0,0,7754.219
16,7000,0,0,0,9321.315
17,12793644,29403,12748538,1024,6878.228
18,7200,0,0,0,5267.083
19,6500,0,0,0,4838.512
20,5600,0,0,0,4595.122
21,7400,0,0,0,6014.054
22,6200,0,0,0,4307.585
23,6300,0,0,0,4305.729
24,5500,0,0,0,4268.225
25,5700,0,0,0,4896.333
26,35804,26003,0,0,4315.008
27,7201,0,0,0,4550.780
28,5100,0,0,0,4545.115
29,5000,0,0,0,4756.764
