epoch,phase,S_after,event,L_ring,ovf_count,L_ovf
0,0,4096,none,4096,0,0
1,1,4096,none,256,0,0
2,1,4096,none,256,0,0
3,1,4096,none,256,0,0
4,1,256,shrink,256,0,0
5,1,256,none,256,0,0
6,1,256,none,256,0,0
7,1,256,none,256,0,0
8,1,256,none,256,0,0
9,1,256,none,256,0,0
10,1,256,none,256,0,0
11,1,256,none,256,0,0
12,1,256,none,256,0,0
13,1,256,none,256,0,0
14,1,256,none,256,0,0
15,1,256,none,256,0,0
16,1,256,none,256,0,0
17,2,512,grow,512,1,0
18,2,512,none,512,0,0
19,2,512,none,512,0,0
20,2,512,none,512,0,0
21,2,512,none,512,0,0
22,2,512,none,512,0,0
23,2,512,none,512,0,0
24,2,512,none,512,0,0
25,2,512,none,512,0,0
26,2,512,none,512,0,0
27,2,512,none,512,0,0
28,2,512,none,512,0,0
29,2,512,none,512,0,0
30,2,512,none,512,0,0
31,2,512,none,512,0,0
32,2,512,none,512,0,0
33,3,1024,grow,1024,1,0
34,3,1024,none,1024,0,0
35,3,1024,none,1024,0,0
36,3,1024,none,1024,0,0
37,3,1024,none,1024,0,0
38,3,1024,none,1024,0,0
39,3,1024,none,1024,0,0
40,3,1024,none,1024,0,0
41,3,1024,none,1024,0,0
42,3,1024,none,1024,0,0
43,3,1024,none,1024,0,0
44,3,1024,none,1024,0,0
45,3,1024,none,1024,0,0
46,3,1024,none,1024,0,0
47,3,1024,none,1024,0,0
48,3,1024,none,1024,0,0
49,4,2048,grow,2048,1,0
50,4,2048,none,2048,0,0
51,4,2048,none,2048,0,0
52,4,2048,none,2048,0,0
53,4,2048,none,2048,0,0
54,4,2048,none,2048,0,0
55,4,2048,none,2048,0,0
56,4,2048,none,2048,0,0
57,4,2048,none,2048,0,0
58,4,2048,none,2048,0,0
59,4,2048,none,2048,0,0
60,4,2048,none,2048,0,0
61,4,2048,none,2048,0,0
62,4,2048,none,2048,0,0
63,4,2048,none,2048,0,0
64,4,2048,none,2048,0,0
65,5,4096,grow,4096,1,0
66,5,4096,none,4096,0,0
67,5,4096,none,4096,0,0
68,5,4096,none,4096,0,0
69,5,4096,none,4096,0,0
70,5,4096,none,4096,0,0
71,5,4096,none,4096,0,0
72,5,4096,none,4096,0,0
73,5,4096,none,4096,0,0
74,5,4096,none,4096,0,0
75,5,4096,none,4096,0,0
76,5,4096,none,4096,0,0
77,5,4096,none,4096,0,0
78,5,4096,none,4096,0,0
79,5,4096,none,4096,0,0
80,5,4096,none,4096,0,0
81,6,4096,none,4096,0,0
82,6,4096,none,4096,0,0
83,6,4096,none,4096,0,0
84,6,4096,none,4096,0,0
85,6,4096,none,4096,0,0
86,6,4096,none,4096,0,0
87,6,4096,none,4096,0,0
88,6,4096,none,4096,0,0
89,6,4096,none,4096,0,0
90,6,4096,none,4096,0,0
91,6,4096,none,4096,0,0
92,6,4096,none,4096,0,0
93,6,4096,none,4096,0,0
94,6,4096,none,4096,0,0
95,6,4096,none,4096,0,0
96,6,4096,none,4096,0,0
97,7,4096,none,2048,0,0
98,7,2048,shrink,2048,0,0
99,7,2048,none,2048,0,0
100,7,2048,none,2048,0,0
101,7,2048,none,2048,0,0
102,7,2048,none,2048,0,0
103,7,2048,none,2048,0,0
104,7,2048,none,2048,0,0
105,7,2048,none,2048,0,0
106,7,2048,none,2048,0,0
107,7,2048,none,2048,0,0
108,7,2048,none,2048,0,0
109,7,2048,none,2048,0,0
110,7,2048,none,2048,0,0
111,7,2048,none,2048,0,0
112,7,2048,none,2048,0,0
113,8,2048,none,1024,0,0
114,8,1024,shrink,1024,0,0
115,8,1024,none,1024,0,0
116,8,1024,none,1024,0,0
117,8,1024,none,1024,0,0
118,8,1024,none,1024,0,0
119,8,1024,none,1024,0,0
120,8,1024,none,1024,0,0
121,8,1024,none,1024,0,0
122,8,1024,none,1024,0,0
123,8,1024,none,1024,0,0
124,8,1024,none,1024,0,0
125,8,1024,none,1024,0,0
126,8,1024,none,1024,0,0
127,8,1024,none,1024,0,0
128,8,1024,none,1024,0,0
129,9,1024,none,512,0,0
130,9,512,shrink,512,0,0
131,9,512,none,512,0,0
132,9,512,none,512,0,0
133,9,512,none,512,0,0
134,9,512,none,512,0,0
135,9,512,none,512,0,0
136,9,512,none,512,0,0
137,9,512,none,512,0,0
138,9,512,none,512,0,0
139,9,512,none,512,0,0
140,9,512,none,512,0,0
141,9,512,none,512,0,0
142,9,512,none,512,0,0
143,9,512,none,512,0,0
144,9,512,none,512,0,0
145,10,512,none,256,0,0
146,10,256,shrink,256,0,0
147,10,256,none,256,0,0
148,10,256,none,256,0,0
149,10,256,none,256,0,0
150,10,256,none,256,0,0
151,10,256,none,256,0,0
152,10,256,none,256,0,0
153,10,256,none,256,0,0
154,10,256,none,256,0,0
155,10,256,none,256,0,0
156,10,256,none,256,0,0
157,10,256,none,256,0,0
158,10,256,none,256,0,0
159,10,256,none,256,0,0
160,10,256,none,256,0,0
