epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,11.525,9.279,4337.784
1,0,11.440,7.521,4331.827
2,0,11.262,7.130,8536.780
3,0,11.104,7.130,5764.341
4,1,11.952,15.236,4701.212
5,1,11.024,7.911,4554.512
6,1,11.555,7.813,5886.721
7,1,11.146,7.130,4607.254
8,1,14.223,7.227,5727.227
9,1,39.153,451.037,7037.655
10,1,11.787,9.181,5778.797
11,1,11.507,7.325,4768.701
12,1,11.146,7.228,5003.205
13,1,11.214,7.228,4560.079
14,1,11.977,12.599,8859.284
15,1,11.861,21.682,5283.320
16,2,11.214,7.521,7017.145
17,2,14.846,10.060,4231.423
18,3,11.031,7.130,5193.172
19,3,11.830,7.618,8210.272
20,3,14.437,7.814,4993.341
21,3,11.305,7.228,8479.156
22,3,11.653,7.423,5753.403
23,3,11.653,7.521,5012.484
24,3,11.824,7.814,5164.262
25,3,15.792,13.869,4936.009
26,3,14.986,53.914,4379.880
27,3,11.031,7.227,4332.022
28,3,11.787,9.865,4312.879
29,3,11.568,8.106,4394.725
