epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,3355.4432,0,0,0,0
1,0,3355.4432,0,0,0,0
2,0,3355.4432,1,195,219,65536
3,0,3355.4432,0,0,0,0
4,1,3355.4432,1,218,242,65536
5,1,3355.4432,0,0,0,0
6,1,3355.4432,1,221,189,65536
7,1,3355.4432,0,0,0,0
8,1,3355.4432,1,215,202,65536
9,1,3355.4432,0,0,0,0
10,1,3355.4432,1,228,161,65536
11,1,3355.4432,0,0,0,0
12,1,3355.4432,1,204,198,65536
13,1,3355.4432,0,0,0,0
14,1,3355.4432,1,193,198,65536
15,1,3355.4432,0,0,0,0
16,2,3355.4432,1,221,213,65536
17,2,3355.4432,0,0,0,0
18,3,3355.4432,1,187,214,65536
19,3,3355.4432,0,0,0,0
20,3,3355.4432,1,194,210,65536
21,3,3355.4432,0,0,0,0
22,3,3355.4432,1,206,208,65536
23,3,3355.4432,0,0,0,0
24,3,3355.4432,1,194,224,65536
25,3,3355.4432,0,0,0,0
26,3,3355.4432,1,198,245,65536
27,3,3355.4432,0,0,0,0
28,3,3355.4432,1,203,236,65536
29,3,3355.4432,0,0,0,0
