epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,3355.4432,210,219,0,897024
1,0,3355.4432,187,195,0,798720
2,0,3355.4432,224,239,0,978944
3,0,3355.4432,212,219,0,897024
4,1,3355.4432,186,188,0,192512
5,1,3355.4432,213,222,0,227328
6,1,3355.4432,193,197,0,201728
7,1,3355.4432,211,217,0,222208
8,1,3355.4432,152,159,0,162816
9,1,3355.4432,214,220,0,225280
10,1,3355.4432,195,208,0,212992
11,1,3355.4432,197,206,0,210944
12,1,3355.4432,182,188,0,192512
13,1,3355.4432,197,201,0,205824
14,1,3355.4432,192,201,0,205824
15,1,3355.4432,216,225,0,230400
16,2,3355.4432,199,207,0,847872
17,2,3355.4432,191,198,0,811008
18,3,3355.4432,200,205,0,209920
19,3,3355.4432,190,198,0,202752
20,3,3355.4432,201,207,0,211968
21,3,3355.4432,191,198,0,202752
22,3,3355.4432,228,233,0,238592
23,3,3355.4432,172,179,0,183296
24,3,3355.4432,238,249,0,254976
25,3,3355.4432,193,199,0,203776
26,3,3355.4432,221,232,0,237568
27,3,3355.4432,202,206,0,210944
28,3,3355.4432,203,215,0,220160
29,3,3355.4432,200,213,0,218112
