epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,11.904,8.107,4813.703
1,0,11.165,7.325,4815.169
2,0,12.099,13.771,15728.703
3,0,15.511,51.179,10342.649
4,1,10.927,7.130,51700.062
5,1,12.172,7.814,19185.564
6,1,11.745,7.911,7222.850
7,1,13.131,7.618,12826.124
8,1,11.861,11.232,21733.404
9,1,12.667,12.893,6358.562
10,1,17.880,9.083,8812.246
11,1,14.321,7.716,4273.291
12,1,11.269,7.228,4194.178
13,1,11.391,7.521,4285.988
14,1,11.128,7.130,4154.426
15,1,11.214,7.423,4306.108
16,2,11.250,7.813,4241.353
17,2,16.171,7.814,4615.725
18,3,11.434,7.423,4447.536
19,3,11.495,7.423,4374.673
20,3,11.513,7.325,4458.475
21,3,11.330,7.228,4470.293
22,3,11.330,7.911,4363.148
23,3,12.087,7.716,4935.206
24,3,11.720,7.521,4307.085
25,3,10.896,7.130,4254.343
26,3,12.502,12.990,4453.689
27,3,11.690,14.162,4427.318
28,3,15.115,56.258,4432.495
29,3,11.263,7.325,4623.831
