# exp1a store time cost (batch-amortized). N=4096 timed_ops=500000 reps=5 warm=500000
# B: main=2048 (n_batches=244), xval=1024 (n_batches=488)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), psn_dynblock_fixed=S=4096 固定
# alloc_mode: pooled=一次性预分配复用(主结果) perstore=逐 store malloc/free(第 5 条正交)
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查); block_S=0 表示非 dynblock
# n_malloc/n_free: pooled 恒 0; perstore=计时期逐 store malloc/free 实计数(约 reps*timed_ops)
method,alloc_mode,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_free,n_resize
fifo_bounded,pooled,2048,4096,1024,488,5,42.093,0.544,41.970,42.475,44.369,0.189,0,0,0,0
chained_hash_bounded,pooled,2048,4096,1024,488,5,42.563,0.721,42.411,43.178,44.933,0.189,0,0,0,0
balanced_tree_bounded,pooled,2048,4096,1024,488,5,68.851,0.909,68.779,69.709,71.660,0.189,0,0,0,0
psn_dynblock,pooled,2048,4096,1024,488,5,42.323,0.471,42.217,42.786,44.463,0.189,2048,0,0,0
psn_dynblock_fixed,pooled,2048,4096,1024,488,5,51.321,4.449,49.184,55.448,70.901,0.189,4096,0,0,0
index_only,pooled,2048,4096,1024,488,5,1.101,0.036,1.100,1.102,1.103,0.189,0,0,0,0
fifo_bounded,pooled,4096,4096,1024,488,5,90.591,13.312,86.061,100.724,162.736,0.189,0,0,0,0
chained_hash_bounded,pooled,4096,4096,1024,488,5,91.480,10.261,87.667,101.403,137.111,0.189,0,0,0,0
balanced_tree_bounded,pooled,4096,4096,1024,488,5,115.591,16.906,110.707,123.269,197.972,0.189,0,0,0,0
psn_dynblock,pooled,4096,4096,1024,488,5,91.879,12.352,88.662,96.673,162.165,0.189,4096,0,0,0
psn_dynblock_fixed,pooled,4096,4096,1024,488,5,94.685,17.529,88.729,104.766,154.476,0.189,4096,0,0,0
index_only,pooled,4096,4096,1024,488,5,1.105,0.132,1.100,1.102,1.129,0.189,0,0,0,0
