epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,29.582,7.521,6067.806
1,0,16.598,76.475,7761.392
2,0,17.129,14.357,16625.179
3,0,16.360,46.100,8470.179
4,1,12.068,9.181,5933.803
5,1,12.355,7.911,5986.154
6,1,610.751,5781.830,5369.959
7,1,11.928,9.474,4629.430
8,1,145.918,2138.861,10272.276
9,1,40.966,465.981,4468.666
10,1,11.159,7.227,6420.099
11,1,11.354,7.325,5112.600
12,1,10.982,7.813,8038.578
13,1,14.473,57.820,5301.102
14,1,11.494,12.306,4289.540
15,1,11.043,7.130,4750.540
16,2,12.013,14.846,8101.672
17,2,11.757,15.432,4478.237
18,3,12.380,8.204,8412.359
19,3,88.043,12.306,5508.161
20,3,14.345,54.207,5059.175
21,3,12.422,8.009,4421.296
22,3,13.393,13.478,4747.316
23,3,12.636,21.096,5927.748
24,3,14.284,26.957,4966.096
25,3,11.726,8.107,4446.983
26,3,16.134,20.706,4507.636
27,3,12.642,19.045,5682.598
28,3,11.476,8.107,4938.748
29,3,12.660,7.032,4677.385
